"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.934522100E-2,7.108781338E-1,6.332492828E-2,8.944072723E-1
6.425438700E-2,6.777782440E-1,-3.126192093E-2,7.642793655E-1
6.917042900E-2,6.149029732E-1,-9.216260910E-2,6.303348541E-1
7.409610600E-2,5.315990448E-1,-1.312818527E-1,4.719929695E-1
7.903371000E-2,4.275860786E-1,-1.593728065E-1,3.327760696E-1
8.398496000E-2,3.026411533E-1,-1.590642929E-1,1.601009369E-1
8.895089800E-2,2.103452682E-1,-1.409406662E-1,-9.931564331E-3
9.393199200E-2,1.340620518E-1,-1.010689735E-1,-1.746802330E-1
9.892808500E-2,5.420947075E-2,-8.984231949E-2,-3.673629761E-1
1.039383980E-1,-1.633954048E-2,-9.181213379E-2,-5.788607597E-1
1.089616270E-1,-5.609607697E-2,-9.239864349E-2,-8.050603867E-1
1.139960540E-1,-9.915137291E-2,-9.587192535E-2,-1.010179043E0
1.190394920E-1,-1.236400604E-1,-1.109647751E-1,-1.118802071E0
1.240895440E-1,-9.410858154E-2,-8.666563034E-2,-1.222631454E0
1.291436060E-1,-3.556084633E-2,-8.391189575E-2,-1.257947922E0
1.341990750E-1,2.348113060E-2,-7.428884506E-2,-1.208998203E0
1.392250650E-1,6.484293938E-2,-8.119106293E-2,-1.119987011E0
1.442170960E-1,9.389615059E-2,-6.724357605E-2,-9.734444618E-1
1.492091270E-1,1.248281002E-1,-7.476139069E-2,-7.893648148E-1
1.542011580E-1,1.670498848E-1,-4.794931412E-2,-5.496048927E-1
1.591931900E-1,2.299623489E-1,-1.116895676E-2,-2.874383926E-1
1.641852210E-1,3.877196312E-1,7.006645203E-3,1.459441185E-1
1.691772520E-1,3.495953083E-1,-1.971178055E-1,3.657436371E-1
1.741692830E-1,4.496910572E-1,-1.856174469E-1,7.685198784E-1
1.791613150E-1,5.503344536E-1,-1.698131561E-1,1.159869194E0
1.841533460E-1,6.448185444E-1,-2.152078152E-1,1.100081921E0
1.891453770E-1,6.429648399E-1,-2.830197811E-1,9.610619545E-1
1.941374080E-1,5.150616169E-1,-3.541622162E-1,1.052251339E0
1.991294400E-1,4.406054020E-1,-4.424853325E-1,1.045539856E0
2.041214710E-1,3.426682949E-1,-5.241110325E-1,9.336009026E-1
2.091135020E-1,1.372518539E-1,-4.590833187E-1,8.773541451E-1
2.141055330E-1,-1.312208176E-1,-3.865394592E-1,8.006606102E-1
2.190975650E-1,-3.125946522E-1,-3.300440311E-1,8.065266609E-1
2.240895960E-1,-4.098508358E-1,-2.751519680E-1,7.804880142E-1
2.290816270E-1,-4.763374329E-1,-2.219936848E-1,6.531715393E-1
2.340736580E-1,-4.976580143E-1,-1.985712051E-1,4.457902908E-1
2.390656900E-1,-3.906385899E-1,-1.571922302E-1,3.096075058E-1
2.440577210E-1,-2.804367542E-1,-6.049680710E-2,2.004270554E-1
2.490497520E-1,-2.006618977E-1,2.971315384E-2,4.683399200E-2
2.540417830E-1,-1.275844574E-1,9.987473488E-2,-1.319370270E-1
2.590338150E-1,-8.953738213E-2,9.927439690E-2,-3.734169006E-1
2.640258460E-1,-6.750273705E-2,1.189768314E-1,-6.112260818E-1
2.690178770E-1,1.402752399E-1,2.153396606E-1,-8.083853722E-1
2.740099080E-1,4.016926289E-1,4.063448906E-1,-8.680729866E-1
2.790019400E-1,6.687235832E-2,2.491414547E-1,-1.108131886E0
2.839939710E-1,-3.070564270E-1,1.543674469E-1,-1.209995270E0
2.889860020E-1,-5.036203861E-1,1.537666321E-1,-1.322023392E0
2.939780330E-1,-5.968253613E-1,2.317111492E-1,-1.430050850E0
2.989700650E-1,-4.324467182E-1,1.996874809E-2,-1.449200630E0
3.039620960E-1,-4.100635052E-1,5.560112000E-2,-1.263278008E0
3.089541270E-1,-3.444418907E-1,1.128766537E-1,-9.980378151E-1
3.139461580E-1,-2.696156502E-1,1.863293648E-1,-6.921415329E-1
3.189381900E-1,-2.806594372E-1,2.705645561E-1,-4.025564194E-1
3.239302210E-1,-2.486882210E-1,2.471468449E-1,-1.143112183E-1
3.289222520E-1,-1.073853970E-1,1.406264305E-1,1.263475418E-1
3.339142830E-1,-2.630519867E-2,-5.293011665E-2,3.494281769E-1
3.389063150E-1,4.491567612E-2,-2.103204727E-1,5.799064636E-1
3.438983460E-1,1.647891998E-1,-3.040566444E-1,7.099113464E-1
3.488903770E-1,2.581129074E-1,-3.447930813E-1,8.545389175E-1
