"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.151086350E1,2.360953750E1,1.307367853E2,NaN,NaN,4.681100082E1,1.000000000E0
5.990211460E-1,6.151069323E1,2.360950111E1,1.352254652E2,0.000000000E0,NaN,8.432416916E0,1.293252850E1
1.180462656E0,6.151069323E1,2.360950111E1,1.352254652E2,0.000000000E0,NaN,8.432416916E0,1.293252850E1
2.179768124E0,6.151066418E1,2.360956665E1,1.305893982E2,4.699999988E-1,5.790000153E1,3.790092468E0,4.192907333E0
3.179804478E0,6.151069419E1,2.360960170E1,1.304174874E2,3.199999928E-1,4.290000153E1,3.790092468E0,2.980028391E0
4.180066665E0,6.151069966E1,2.360959859E1,1.298647572E2,0.000000000E0,NaN,3.790092468E0,4.040760517E0
5.180001092E0,6.151070059E1,2.360959283E1,1.305161248E2,0.000000000E0,NaN,3.790092468E0,4.008868217E0
6.179267498E0,6.151070254E1,2.360958408E1,1.304204228E2,0.000000000E0,NaN,3.790092468E0,3.508318186E0
7.180020362E0,6.151070425E1,2.360957845E1,1.298573135E2,0.000000000E0,NaN,3.790092468E0,3.045551062E0
8.180064372E0,6.151070670E1,2.360957229E1,1.296710359E2,0.000000000E0,NaN,3.790092468E0,2.885516882E0
9.180197445E0,6.151070853E1,2.360956897E1,1.296880659E2,0.000000000E0,NaN,3.790092468E0,2.852545500E0
1.017922161E1,6.151070974E1,2.360956999E1,1.305089898E2,0.000000000E0,NaN,3.790092468E0,2.872407675E0
1.118000088E1,6.151071073E1,2.360957080E1,1.306520570E2,0.000000000E0,NaN,3.790092468E0,2.696067095E0
1.217998130E1,6.151071111E1,2.360957149E1,1.307609441E2,0.000000000E0,NaN,3.790092468E0,2.579413176E0
1.317939724E1,6.151071187E1,2.360957287E1,1.307167553E2,0.000000000E0,NaN,3.790092468E0,2.546845198E0
1.417958130E1,6.151071562E1,2.360958951E1,1.309670642E2,4.799999893E-1,4.329999924E1,3.790092468E0,2.500000000E0
1.517954479E1,6.151072138E1,2.360960860E1,1.311324139E2,9.200000167E-1,4.329999924E1,3.790092468E0,2.500000000E0
1.617978411E1,6.151072485E1,2.360962163E1,1.310502029E2,8.199999928E-1,4.329999924E1,3.790092468E0,2.500000000E0
1.717962953E1,6.151073503E1,2.360965793E1,1.316855275E2,1.019999981E0,5.370000076E1,3.790092468E0,2.500000000E0
1.818020963E1,6.151074059E1,2.360967900E1,1.323771222E2,1.299999952E0,6.409999847E1,3.790092468E0,2.500000000E0
1.917934400E1,6.151074565E1,2.360970064E1,1.323915316E2,1.230000019E0,6.659999847E1,3.790092468E0,2.500000000E0
2.017957426E1,6.151075103E1,2.360972233E1,1.321441003E2,1.220000029E0,6.559999847E1,3.790092468E0,2.500000000E0
2.117954140E1,6.151075547E1,2.360973898E1,1.322359014E2,7.799999714E-1,6.640000153E1,3.790092468E0,2.500000000E0
2.217997343E1,6.151076136E1,2.360975524E1,1.319608824E2,9.399999976E-1,5.979999924E1,3.790092468E0,2.500000000E0
2.317994697E1,6.151076858E1,2.360977490E1,1.318626224E2,9.900000095E-1,5.509999847E1,3.790092468E0,2.500000000E0
2.418011801E1,6.151077455E1,2.360979059E1,1.317609433E2,5.699999928E-1,5.509999847E1,3.790092468E0,2.500000000E0
2.518018853E1,6.151078081E1,2.360980922E1,1.312313471E2,1.080000043E0,5.890000153E1,3.790092468E0,2.500000000E0
2.617970473E1,6.151078795E1,2.360983002E1,1.316918639E2,1.019999981E0,5.990000153E1,3.790092468E0,2.500000000E0
2.718015004E1,6.151079420E1,2.360985079E1,1.308525143E2,1.149999976E0,5.990000153E1,3.790092468E0,2.500000000E0
2.817998697E1,6.151080040E1,2.360987112E1,1.306724665E2,1.090000033E0,6.700000000E1,3.790092468E0,2.500000000E0
2.917993603E1,6.151080644E1,2.360989162E1,1.303376333E2,1.000000000E0,6.959999847E1,3.790092468E0,2.500000000E0
3.017971796E1,6.151081160E1,2.360990826E1,1.301024697E2,8.399999738E-1,7.319999695E1,3.790092468E0,2.500000000E0
3.117979400E1,6.151081642E1,2.360992287E1,1.295417442E2,8.299999833E-1,6.959999847E1,3.790092468E0,2.500000000E0
3.217992790E1,6.151082240E1,2.360994034E1,1.292659929E2,1.139999986E0,6.940000153E1,3.790092468E0,2.500000000E0
3.318015374E1,6.151083080E1,2.360996083E1,1.293877656E2,1.279999971E0,6.200000000E1,3.790092468E0,2.500000000E0
3.417960447E1,6.151084024E1,2.360998198E1,1.296289850E2,1.240000010E0,5.900000000E1,3.790092468E0,2.500000000E0
3.517926754E1,6.151084917E1,2.361000131E1,1.299181164E2,1.090000033E0,5.479999924E1,3.790092468E0,2.500000000E0
3.617948749E1,6.151085800E1,2.361002191E1,1.295991546E2,1.169999957E0,5.640000153E1,3.790092468E0,2.500000000E0
3.717947322E1,6.151086616E1,2.361004378E1,1.299598798E2,1.190000057E0,6.059999847E1,3.790092468E0,2.500000000E0
3.817935363E1,6.151087340E1,2.361006672E1,1.297790395E2,1.139999986E0,6.669999695E1,3.790092468E0,2.500000000E0
3.918003832E1,6.151088091E1,2.361008525E1,1.293618709E2,9.100000262E-1,5.940000153E1,3.790092468E0,2.500000000E0
4.017982603E1,6.151088792E1,2.361010697E1,1.289487305E2,1.340000033E0,5.740000153E1,3.790092468E0,2.500000000E0
4.117935019E1,6.151089482E1,2.361012801E1,1.289501407E2,9.700000286E-1,5.640000153E1,3.790092468E0,2.500000000E0
4.218002342E1,6.151090132E1,2.361014767E1,1.289232913E2,1.100000024E0,6.500000000E1,3.790092468E0,2.500000000E0
4.317920722E1,6.151090749E1,2.361016739E1,1.291779358E2,1.029999971E0,6.659999847E1,3.790092468E0,2.500000000E0
4.418009415E1,6.151091370E1,2.361018870E1,1.289674924E2,1.080000043E0,6.500000000E1,3.790092468E0,2.500000000E0
4.517935076E1,6.151092056E1,2.361020892E1,1.289531555E2,1.070000052E0,6.350000000E1,3.790092468E0,2.500000000E0
4.617944399E1,6.151092823E1,2.361022454E1,1.281823493E2,8.500000238E-1,5.470000076E1,3.790092468E0,2.500000000E0
4.717952717E1,6.151093641E1,2.361023812E1,1.274100175E2,8.799999952E-1,4.950000000E1,3.790092468E0,2.500000000E0
4.817946863E1,6.151094452E1,2.361025343E1,1.274758205E2,9.499999881E-1,5.179999924E1,3.790092468E0,2.500000000E0
4.917951071E1,6.151095220E1,2.361027018E1,1.276007053E2,9.800000191E-1,5.650000000E1,3.790092468E0,2.500000000E0
5.017978821E1,6.151095843E1,2.361028795E1,1.271134063E2,1.019999981E0,6.309999847E1,3.790092468E0,2.500000000E0
5.117966842E1,6.151096463E1,2.361030379E1,1.276861658E2,7.599999905E-1,6.209999847E1,3.790092468E0,2.500000000E0
5.217986555E1,6.151097129E1,2.361031975E1,1.282451318E2,9.599999785E-1,6.509999847E1,3.790092468E0,2.500000000E0
5.317947180E1,6.151097928E1,2.361033958E1,1.284146947E2,1.110000014E0,6.090000153E1,3.790092468E0,2.500000000E0
5.417963170E1,6.151098613E1,2.361035736E1,1.285224280E2,8.399999738E-1,6.509999847E1,3.790092468E0,2.500000000E0
5.517974816E1,6.151099225E1,2.361037525E1,1.286216768E2,1.019999981E0,6.919999695E1,3.790092468E0,2.500000000E0
5.617977805E1,6.151099784E1,2.361039370E1,1.287057885E2,1.000000000E0,7.050000000E1,3.790092468E0,2.500000000E0
5.717950842E1,6.151100303E1,2.361041128E1,1.279583569E2,9.800000191E-1,6.680000305E1,3.790092468E0,2.500000000E0
5.818008696E1,6.151100927E1,2.361042878E1,1.284446907E2,9.800000191E-1,6.320000076E1,3.790092468E0,2.500000000E0
5.917994602E1,6.151101665E1,2.361044381E1,1.280745801E2,9.800000191E-1,5.709999847E1,3.790092468E0,2.500000000E0
6.018011727E1,6.151102409E1,2.361045725E1,1.280040909E2,9.499999881E-1,5.409999847E1,3.790092468E0,2.500000000E0
6.118002425E1,6.151103236E1,2.361047036E1,1.280325404E2,1.049999952E0,4.820000076E1,3.790092468E0,2.500000000E0
6.217949951E1,6.151104224E1,2.361048618E1,1.285127736E2,1.289999962E0,4.850000000E1,3.790092468E0,2.500000000E0
6.317995018E1,6.151105305E1,2.361050256E1,1.284870260E2,1.289999962E0,4.379999924E1,3.790092468E0,2.500000000E0
6.418012633E1,6.151106313E1,2.361051420E1,1.287830550E2,8.199999928E-1,4.350000000E1,3.790092468E0,2.500000000E0
6.517977076E1,6.151107232E1,2.361052516E1,1.283097351E2,9.700000286E-1,4.570000076E1,3.790092468E0,2.500000000E0
6.617970404E1,6.151108076E1,2.361053883E1,1.279445080E2,9.900000095E-1,5.370000076E1,3.790092468E0,2.500000000E0
6.717924607E1,6.151108942E1,2.361055286E1,1.270493128E2,1.080000043E0,5.150000000E1,3.790092468E0,2.500000000E0
6.817966107E1,6.151109948E1,2.361056969E1,1.276585744E2,1.240000010E0,4.990000153E1,3.790092468E0,2.500000000E0
6.917953685E1,6.151110937E1,2.361058794E1,1.276679825E2,1.190000057E0,4.620000076E1,3.790092468E0,2.500000000E0
